@RELATION GermanCredit

@ATTRIBUTE CheckingAccount {<0,<200,>=200,none}
@ATTRIBUTE Duration NUMERIC
@ATTRIBUTE CreditHistory {ok,ok_at_this_bank,ok_til_now,past_delays,critical}
@ATTRIBUTE Purpose {car_new,car_used,furniture,television,appliances,repairs,education,vacation,retraining,business,others}
@ATTRIBUTE CreditAmount NUMERIC
@ATTRIBUTE SavingsAccount {<100,<500,<1000,>=1000,unknown}
@ATTRIBUTE YearsEmployed {unemployed,<1,<4,<7,>=7}
@ATTRIBUTE InstallmentRate NUMERIC
@ATTRIBUTE PersonalStatus {male_divorced,female,male_single,male_married,female_single}
@ATTRIBUTE OtherDebtors {none,co,guarantor}
@ATTRIBUTE ResidentSince NUMERIC
@ATTRIBUTE Property {real_estate,savings,car,unknown}
@ATTRIBUTE Age NUMERIC
@ATTRIBUTE OtherPlans {bank,stores,none}
@ATTRIBUTE Housing {rent,own,free}
@ATTRIBUTE NumCreditsAtBank NUMERIC
@ATTRIBUTE Job {unemployed,unskilled,skilled,management}
@ATTRIBUTE Dependents NUMERIC
@ATTRIBUTE Telephone {no,yes}
@ATTRIBUTE Foreign {yes,no}
@ATTRIBUTE Approve {good,bad}

@DATA
<0,30,ok,business,8072,unknown,<1,2,male_single,none,3,car,25,bank,own,3,skilled,1,no,yes,good
<200,24,ok_til_now,car_used,12579,<100,>=7,4,female,none,2,unknown,44,none,free,1,management,1,yes,yes,bad
none,24,ok_til_now,television,3430,<1000,>=7,3,male_single,none,2,car,31,none,own,1,skilled,2,yes,yes,good
none,9,critical,car_new,2134,<100,<4,4,male_single,none,4,car,48,none,own,3,skilled,1,yes,yes,good
<0,6,ok_til_now,television,2647,<1000,<4,2,male_single,none,3,real_estate,44,none,rent,1,skilled,2,no,yes,good
<0,10,critical,car_new,2241,<100,<1,1,male_single,none,3,real_estate,48,none,rent,2,unskilled,2,no,no,good
<200,12,critical,car_used,1804,<500,<1,3,male_single,none,4,savings,44,none,own,1,skilled,1,no,yes,good
none,10,critical,furniture,2069,unknown,<4,2,male_married,none,1,car,26,none,own,2,skilled,1,no,no,good
<0,6,ok_til_now,furniture,1374,<100,<4,1,male_single,none,2,real_estate,36,bank,own,1,unskilled,1,yes,yes,good
none,6,ok,television,426,<100,>=7,4,male_married,none,4,car,39,none,own,1,unskilled,1,no,yes,good
>=200,12,ok_at_this_bank,television,409,>=1000,<4,3,female,none,3,real_estate,42,none,rent,2,skilled,1,no,yes,good
<200,7,ok_til_now,television,2415,<100,<4,3,male_single,guarantor,2,real_estate,34,none,own,1,skilled,1,no,yes,good
<0,60,past_delays,business,6836,<100,>=7,3,male_single,none,4,unknown,63,none,own,2,skilled,1,yes,yes,bad
<200,18,ok_til_now,business,1913,>=1000,<1,3,male_married,none,3,real_estate,36,bank,own,1,skilled,1,yes,yes,good
<0,24,ok_til_now,furniture,4020,<100,<4,2,male_single,none,2,car,27,stores,own,1,skilled,1,no,yes,good
<200,18,ok_til_now,car_new,5866,<500,<4,2,male_single,none,2,car,30,none,own,2,skilled,1,yes,yes,good
none,12,critical,business,1264,unknown,>=7,4,male_single,none,4,unknown,57,none,rent,1,unskilled,1,no,yes,good
>=200,12,ok_til_now,furniture,1474,<100,<1,4,female,none,1,savings,33,bank,own,1,management,1,yes,yes,good
<200,45,critical,television,4746,<100,<1,4,male_single,none,2,savings,25,none,own,2,unskilled,1,no,yes,bad
none,48,critical,education,6110,<100,<4,1,male_single,none,3,unknown,31,bank,free,1,skilled,1,yes,yes,good
>=200,18,ok_til_now,television,2100,<100,<4,4,male_single,co,2,real_estate,37,stores,own,1,skilled,1,no,yes,bad
>=200,10,ok_til_now,appliances,1225,<100,<4,2,male_single,none,2,car,37,none,own,1,skilled,1,yes,yes,good
<200,9,ok_til_now,television,458,<100,<4,4,male_single,none,3,real_estate,24,none,own,1,skilled,1,no,yes,good
none,30,ok_til_now,television,2333,<1000,>=7,4,male_single,none,2,car,30,bank,own,1,management,1,no,yes,good
<200,12,ok_til_now,television,1158,<1000,<4,3,male_divorced,none,1,car,26,none,own,1,skilled,1,yes,yes,good
<200,18,past_delays,repairs,6204,<100,<4,2,male_single,none,4,real_estate,44,none,own,1,unskilled,2,yes,yes,good
<0,30,critical,car_used,6187,<500,<7,1,male_married,none,4,car,24,none,rent,2,skilled,1,no,yes,good
<0,48,critical,car_used,6143,<100,>=7,4,female,none,4,unknown,58,stores,free,2,unskilled,1,no,yes,bad
none,11,critical,car_new,1393,<100,<1,4,female,none,4,car,35,none,own,2,management,1,no,yes,good
none,36,ok_til_now,television,2299,<1000,>=7,4,male_single,none,4,car,39,none,own,1,skilled,1,no,yes,good
<0,6,ok_til_now,car_used,1352,<1000,unemployed,1,female,none,2,savings,23,none,rent,1,unemployed,1,yes,yes,good
none,11,critical,car_new,7228,<100,<4,1,male_single,none,4,savings,39,none,own,2,unskilled,1,no,yes,good
none,12,ok_til_now,television,2073,<500,<4,4,female,co,2,real_estate,28,none,own,1,skilled,1,no,yes,good
<200,24,past_delays,furniture,2333,unknown,<1,4,male_single,none,2,savings,29,bank,own,1,unskilled,1,no,yes,good
<200,27,past_delays,car_used,5965,<100,>=7,1,male_single,none,2,car,30,none,own,2,management,1,yes,yes,good
none,12,ok_til_now,television,1262,<100,<4,3,male_single,none,2,car,25,none,own,1,skilled,1,no,yes,good
none,18,ok_til_now,car_used,3378,unknown,<4,2,male_single,none,1,savings,31,none,own,1,skilled,1,yes,yes,good
<200,36,past_delays,car_new,2225,<100,>=7,4,male_single,none,4,unknown,57,bank,free,2,skilled,1,yes,yes,bad
none,6,ok_at_this_bank,car_new,783,unknown,<4,1,male_single,guarantor,2,real_estate,26,stores,own,1,unskilled,2,no,yes,good
<200,12,ok_til_now,television,6468,unknown,unemployed,2,male_single,none,1,unknown,52,none,own,1,management,1,yes,yes,bad
none,36,critical,television,9566,<100,<4,2,female,none,2,car,31,stores,own,2,skilled,1,no,yes,good
>=200,18,ok_til_now,car_new,1961,<100,>=7,3,female,none,2,car,23,none,own,1,management,1,no,yes,good
<0,36,critical,furniture,6229,<100,<1,4,female,co,4,unknown,23,none,rent,2,unskilled,1,yes,yes,bad
<200,9,ok_til_now,business,1391,<100,<4,2,male_married,none,1,real_estate,27,bank,own,1,skilled,1,yes,yes,good
<200,15,critical,television,1537,unknown,>=7,4,male_single,guarantor,4,real_estate,50,none,own,2,skilled,1,yes,yes,good
<200,36,ok,business,1953,<100,>=7,4,male_single,none,4,unknown,61,none,free,1,management,1,yes,yes,bad
<200,48,ok,business,14421,<100,<4,2,male_single,none,2,car,25,none,own,1,skilled,1,yes,yes,bad
none,24,ok_til_now,television,3181,<100,<1,4,female,none,4,savings,26,none,own,1,skilled,1,yes,yes,good
none,27,ok_til_now,repairs,5190,unknown,>=7,4,male_single,none,4,savings,48,none,own,4,skilled,2,yes,yes,good
none,12,ok_til_now,television,2171,<100,<1,2,female,none,2,car,29,bank,own,1,skilled,1,no,yes,good
<200,12,ok_til_now,car_new,1007,>=1000,<4,4,male_married,none,1,real_estate,22,none,own,1,skilled,1,no,yes,good
none,36,ok_til_now,education,1819,<100,<4,4,male_single,none,4,unknown,37,stores,free,1,skilled,1,yes,yes,bad
none,36,ok_til_now,television,2394,unknown,<4,4,female,none,4,car,25,none,own,1,skilled,1,no,yes,good
none,36,ok_til_now,car_used,8133,<100,<4,1,female,none,2,savings,30,bank,own,1,skilled,1,no,yes,good
none,7,critical,television,730,unknown,>=7,4,male_single,none,2,savings,46,none,rent,2,unskilled,1,yes,yes,good
<0,8,critical,others,1164,<100,>=7,3,male_single,none,4,unknown,51,bank,free,2,management,2,yes,yes,good
<200,42,critical,business,5954,<100,<7,2,female,none,1,real_estate,41,bank,own,2,unskilled,1,no,yes,good
<0,36,ok_til_now,education,1977,unknown,>=7,4,male_single,none,4,unknown,40,none,own,1,management,1,yes,yes,bad
<0,12,critical,car_used,1526,<100,>=7,4,male_single,none,4,unknown,66,none,free,2,management,1,no,yes,good
<0,42,ok_til_now,television,3965,<100,<1,4,male_single,none,3,car,34,none,own,1,skilled,1,no,yes,bad
<200,11,past_delays,television,4771,<100,<7,2,male_single,none,4,savings,51,none,own,1,skilled,1,no,yes,good
none,54,ok,car_used,9436,unknown,<4,2,male_single,none,2,savings,39,none,own,1,unskilled,2,no,yes,good
<200,30,ok_til_now,furniture,3832,<100,<1,2,male_married,none,1,savings,22,none,own,1,skilled,1,no,yes,good
none,24,ok_til_now,television,5943,unknown,<1,1,female,none,1,car,44,none,own,2,skilled,1,yes,yes,bad
none,15,ok_til_now,television,1213,<1000,>=7,4,male_single,none,3,savings,47,stores,own,1,skilled,1,yes,yes,good
none,18,ok_til_now,business,1568,<500,<4,3,female,none,4,savings,24,none,rent,1,unskilled,1,no,yes,good
<0,24,ok_til_now,others,1755,<100,>=7,4,female,guarantor,4,real_estate,58,none,own,1,unskilled,1,yes,yes,good
<0,10,ok_til_now,television,2315,<100,>=7,3,male_single,none,4,real_estate,52,none,own,1,unskilled,1,no,yes,good
none,12,critical,business,1412,<100,<4,4,female,guarantor,2,real_estate,29,none,own,2,management,1,yes,yes,good
<200,18,critical,furniture,1295,<100,<1,4,female,none,1,savings,27,none,own,2,skilled,1,no,yes,good
<200,36,ok_til_now,education,12612,<500,<4,1,male_single,none,4,unknown,47,none,free,1,skilled,2,yes,yes,bad
<0,18,ok_til_now,car_new,2249,<500,<7,4,male_single,none,3,car,30,none,own,1,management,2,yes,yes,good
<0,12,ok,repairs,1108,<100,<7,4,male_single,none,3,real_estate,28,none,own,2,skilled,1,no,yes,bad
none,12,critical,television,618,<100,>=7,4,male_single,none,4,real_estate,56,none,own,1,skilled,1,no,yes,good
<0,12,critical,car_used,1409,<100,>=7,4,male_single,none,3,real_estate,54,none,own,1,skilled,1,no,yes,good
none,12,critical,television,797,unknown,>=7,4,female,none,3,savings,33,bank,own,1,unskilled,2,no,yes,bad
>=200,24,critical,furniture,3617,unknown,>=7,4,male_single,co,4,unknown,20,none,rent,2,skilled,1,no,yes,good
<200,12,ok_til_now,car_new,1318,>=1000,>=7,4,male_single,none,4,real_estate,54,none,own,1,skilled,1,yes,yes,good
<200,54,ok,business,15945,<100,<1,3,male_single,none,4,unknown,58,none,rent,1,skilled,1,yes,yes,bad
none,12,critical,education,2012,unknown,<7,4,female,none,2,car,61,none,own,1,skilled,1,no,yes,good
<200,18,ok_til_now,business,2622,<500,<4,4,male_single,none,4,car,34,none,own,1,skilled,1,no,yes,good
<200,36,critical,television,2337,<100,>=7,4,male_single,none,4,real_estate,36,none,own,1,skilled,1,no,yes,good
<200,20,past_delays,car_used,7057,unknown,<7,3,male_single,none,4,savings,36,bank,rent,2,management,2,yes,yes,good
none,24,ok_til_now,car_new,1469,<500,>=7,4,male_married,none,4,real_estate,41,none,rent,1,unskilled,1,no,yes,good
<200,36,ok_til_now,television,2323,<100,<7,4,male_single,none,4,car,24,none,rent,1,skilled,1,no,yes,good
none,6,past_delays,television,932,<100,<4,3,female,none,2,real_estate,24,none,own,1,skilled,1,no,yes,good
<200,9,critical,furniture,1919,<100,<7,4,male_single,none,3,car,35,none,rent,1,skilled,1,yes,yes,good
none,12,ok_til_now,car_used,2445,unknown,<1,2,male_married,none,4,car,26,none,rent,1,skilled,1,yes,yes,good
<200,24,critical,others,11938,<100,<4,2,male_single,co,3,car,39,none,own,2,management,2,yes,yes,bad
none,18,ok_at_this_bank,car_new,6458,<100,>=7,2,male_single,none,4,unknown,39,bank,own,2,management,2,yes,yes,bad
<200,12,ok_til_now,car_new,6078,<100,<7,2,male_single,none,2,car,32,none,own,1,skilled,1,no,yes,good
<0,24,ok_til_now,furniture,7721,unknown,<1,1,female,none,2,savings,30,none,own,1,skilled,1,yes,no,good
<200,14,ok_til_now,business,1410,<1000,>=7,1,male_married,none,2,real_estate,35,none,own,1,skilled,1,yes,yes,good
<200,6,past_delays,business,1449,<500,>=7,1,male_divorced,none,2,car,31,bank,own,2,skilled,2,no,yes,good
>=200,15,ok_til_now,education,392,<100,<1,4,female,none,4,savings,23,none,rent,1,skilled,1,yes,yes,good
<200,18,ok_til_now,car_new,6260,<100,<7,3,male_single,none,3,real_estate,28,none,rent,1,unskilled,1,no,yes,good
none,36,critical,car_new,7855,<100,<4,4,female,none,2,real_estate,25,stores,own,2,skilled,1,yes,yes,bad
<0,12,ok_til_now,television,1680,<1000,>=7,3,male_married,none,1,real_estate,35,none,own,1,skilled,1,no,yes,good
none,48,critical,television,3578,unknown,>=7,4,male_single,none,1,real_estate,47,none,own,1,skilled,1,yes,yes,good
<0,42,ok_til_now,television,7174,unknown,<7,4,female,none,3,car,30,none,own,1,management,1,yes,yes,bad
<0,10,critical,furniture,2132,unknown,<1,2,female,co,3,real_estate,27,none,rent,2,skilled,1,no,no,good
<0,33,critical,furniture,4281,<1000,<4,1,female,none,4,car,23,none,own,2,skilled,1,no,yes,bad
<200,12,critical,car_new,2366,<1000,<7,3,male_divorced,none,3,car,36,none,own,1,management,1,yes,yes,good
<0,21,ok_til_now,television,1835,<100,<4,3,female,none,2,real_estate,25,none,own,2,skilled,1,yes,yes,bad
none,24,critical,car_used,3868,<100,>=7,4,female,none,2,car,41,none,rent,2,management,1,yes,yes,good
none,12,ok_til_now,furniture,1768,<100,<4,3,male_single,none,2,real_estate,24,none,rent,1,unskilled,1,no,yes,good
>=200,10,critical,car_new,781,<100,>=7,4,male_single,none,4,unknown,63,none,free,2,skilled,1,yes,yes,good
<200,18,ok_til_now,furniture,1924,unknown,<1,4,female,none,3,real_estate,27,none,rent,1,skilled,1,no,yes,bad
<0,12,critical,car_new,2121,<100,<4,4,male_single,none,2,savings,30,none,own,2,skilled,1,no,yes,good
<0,12,ok_til_now,television,701,<100,<4,4,male_married,none,2,real_estate,40,none,own,1,unskilled,1,no,yes,good
<200,12,ok_til_now,repairs,639,<100,<4,4,male_single,none,2,car,30,none,own,1,skilled,1,no,yes,bad
<200,12,critical,car_used,1860,<100,unemployed,4,male_single,none,2,car,34,none,own,2,management,1,yes,yes,good
<0,12,critical,car_new,3499,<100,<4,3,female,co,2,real_estate,29,none,own,2,skilled,1,no,yes,bad
<200,48,ok_til_now,car_new,8487,unknown,<7,1,female,none,2,car,24,none,own,1,skilled,1,no,yes,good
<0,36,past_delays,education,6887,<100,<4,4,male_single,none,3,savings,29,stores,own,1,skilled,1,yes,yes,bad
none,15,ok_til_now,furniture,2708,<100,<1,2,male_single,none,3,savings,27,bank,own,2,unskilled,1,no,yes,good
none,18,ok_til_now,furniture,1984,<100,<4,4,male_single,none,4,unknown,47,bank,free,2,skilled,1,no,yes,good
none,60,ok_til_now,television,10144,<500,<7,2,female,none,4,real_estate,21,none,own,1,skilled,1,yes,yes,good
none,12,critical,television,1240,unknown,>=7,4,female,none,2,real_estate,38,none,own,2,skilled,1,yes,yes,good
none,27,past_delays,car_used,8613,>=1000,<4,2,male_single,none,2,car,27,none,own,2,skilled,1,no,yes,good
<200,12,ok_til_now,television,766,<1000,<4,4,male_single,none,3,real_estate,66,none,own,1,unskilled,1,no,yes,bad
<200,15,critical,television,2728,unknown,<7,4,male_single,guarantor,2,real_estate,35,bank,own,3,skilled,1,yes,yes,good
>=200,12,ok_til_now,television,1881,<100,<4,2,female,none,2,car,44,none,rent,1,unskilled,1,yes,yes,good
>=200,6,ok_til_now,car_new,709,>=1000,<1,2,male_married,none,2,real_estate,27,none,own,1,unemployed,1,no,no,good
<200,36,ok_til_now,television,4795,<100,<1,4,female,none,1,unknown,30,none,own,1,management,1,yes,yes,good
<0,27,ok_til_now,television,3416,<100,<4,3,male_single,none,2,car,27,none,own,1,management,1,no,yes,good
<0,18,ok_til_now,furniture,2462,<100,<4,2,male_single,none,2,car,22,none,own,1,skilled,1,no,yes,bad
none,21,critical,furniture,2288,<100,<1,4,female,none,4,savings,23,none,own,1,skilled,1,yes,yes,good
<200,48,ok_at_this_bank,business,3566,<500,<7,4,male_single,none,2,car,30,none,own,1,skilled,1,no,yes,good
<0,6,critical,car_new,860,<100,>=7,1,female,none,4,unknown,39,none,own,2,skilled,1,yes,yes,good
none,12,critical,car_new,682,<500,<7,4,female,none,3,car,51,none,own,2,skilled,1,yes,yes,good
<0,36,critical,furniture,5371,<100,<4,3,male_single,guarantor,2,savings,28,none,own,2,skilled,1,no,yes,good
none,18,critical,television,1582,>=1000,>=7,4,male_single,none,4,car,46,none,own,2,skilled,1,no,yes,good
none,6,ok_til_now,television,1346,<500,>=7,2,male_single,none,4,unknown,42,bank,free,1,skilled,2,yes,yes,good
none,10,ok_til_now,television,1924,<100,<4,1,male_single,none,4,savings,38,none,own,1,skilled,1,yes,no,good
>=200,36,ok_til_now,television,5848,<100,<4,4,male_single,none,1,car,24,none,own,1,skilled,1,no,yes,good
<200,24,critical,car_used,7758,>=1000,>=7,2,female,none,4,unknown,29,none,rent,1,skilled,1,no,yes,good
<200,24,past_delays,business,6967,<500,<7,4,male_single,none,4,car,36,none,rent,1,management,1,yes,yes,good
<0,12,ok_til_now,furniture,1282,<100,<4,2,female,none,4,car,20,none,rent,1,skilled,1,no,yes,bad
<0,9,critical,repairs,1288,<500,>=7,3,male_single,guarantor,4,real_estate,48,none,own,2,skilled,2,no,no,good
<0,12,ok_at_this_bank,retraining,339,<100,>=7,4,male_married,none,1,car,45,bank,own,1,unskilled,1,no,yes,good
<200,24,ok_til_now,car_new,3512,<500,<7,2,male_single,none,3,car,38,bank,own,2,skilled,1,yes,yes,good
none,6,critical,television,1898,unknown,<4,1,male_single,none,2,real_estate,34,none,own,2,unskilled,2,no,yes,good
none,24,critical,television,2872,<500,>=7,3,male_single,none,4,real_estate,36,none,own,1,skilled,2,yes,yes,good
none,18,critical,car_new,1055,<100,<1,4,female,none,1,savings,30,none,own,2,skilled,1,no,yes,good
none,15,ok_til_now,appliances,1262,<1000,<7,4,male_single,none,3,savings,36,none,own,2,skilled,1,yes,yes,good
<200,10,ok_til_now,car_new,7308,<100,unemployed,2,male_single,none,4,unknown,70,bank,free,1,management,1,yes,yes,good
none,36,ok_til_now,car_new,909,<1000,>=7,4,male_single,none,4,savings,36,none,own,1,skilled,1,no,yes,good
none,6,ok_til_now,furniture,2978,<1000,<4,1,male_single,none,2,car,32,none,own,1,skilled,1,yes,yes,good
<0,18,ok_til_now,furniture,1131,<100,unemployed,4,female,none,2,car,33,none,own,1,skilled,1,no,yes,bad
<200,11,ok_til_now,furniture,1577,>=1000,<1,4,female,none,1,real_estate,20,none,own,1,skilled,1,no,yes,good
none,24,ok_til_now,furniture,3972,<100,<7,2,female,none,4,savings,25,none,rent,1,skilled,1,yes,yes,good
<200,24,critical,business,1935,<100,>=7,4,male_divorced,none,4,real_estate,31,none,own,2,skilled,1,yes,yes,bad
<0,15,ok,car_new,950,<100,>=7,4,male_single,none,3,car,33,none,rent,2,skilled,2,no,yes,bad
none,12,ok_til_now,furniture,763,<100,<4,4,female,none,1,real_estate,26,none,own,1,skilled,1,yes,yes,good
<200,24,past_delays,furniture,2064,<100,unemployed,3,female,none,2,savings,34,none,own,1,management,1,yes,yes,bad
<200,8,ok_til_now,television,1414,<100,<4,4,male_single,guarantor,2,real_estate,33,none,own,1,skilled,1,no,no,good
<0,21,past_delays,education,3414,<100,<1,2,male_single,none,1,savings,26,none,own,2,skilled,1,no,yes,bad
none,30,ok_at_this_bank,car_used,7485,unknown,unemployed,4,female,none,1,real_estate,53,bank,own,1,management,1,yes,yes,bad
<0,12,ok_til_now,furniture,2577,<100,<4,2,male_divorced,none,1,car,42,none,own,1,skilled,1,no,yes,good
<0,6,critical,television,338,<1000,>=7,4,male_single,none,4,car,52,none,own,2,skilled,1,no,yes,good
none,12,ok_til_now,television,1963,<100,<7,4,male_single,none,2,car,31,none,rent,2,management,2,yes,yes,good
<0,21,critical,car_new,571,<100,>=7,4,male_single,none,4,real_estate,65,none,own,2,skilled,1,no,yes,good
none,36,past_delays,business,9572,<100,<1,1,male_divorced,none,1,car,28,none,own,2,skilled,1,no,yes,bad
<200,36,past_delays,business,4455,<100,<4,2,male_divorced,none,2,real_estate,30,stores,own,2,management,1,yes,yes,bad
<0,21,ok_at_this_bank,car_new,1647,unknown,<4,4,male_single,none,2,savings,40,none,own,2,unskilled,2,no,yes,bad
none,24,critical,furniture,3777,>=1000,<4,4,male_single,none,4,real_estate,50,none,own,1,skilled,1,yes,yes,good
<200,18,critical,car_new,884,<100,>=7,4,male_single,none,4,car,36,bank,own,1,skilled,2,yes,yes,bad
none,15,critical,television,1360,<100,<4,4,male_single,none,2,savings,31,none,own,2,skilled,1,no,yes,good
<200,9,ok_at_this_bank,car_used,5129,<100,>=7,2,female,none,4,unknown,74,bank,free,1,management,2,yes,yes,bad
<200,16,critical,car_new,1175,<100,unemployed,2,male_single,none,3,car,68,none,free,3,unemployed,1,yes,yes,good
<0,12,ok_til_now,television,674,<500,<7,4,male_married,none,1,savings,20,none,own,1,skilled,1,no,yes,bad
<200,18,ok,furniture,3244,<100,<4,1,female,none,4,car,33,bank,own,2,skilled,1,yes,yes,good
none,24,ok_til_now,business,4591,>=1000,<4,2,male_single,none,3,savings,54,none,own,3,management,1,yes,yes,bad
<200,48,ok,business,3844,<500,<7,4,male_single,none,4,unknown,34,none,free,1,unskilled,2,no,yes,bad
<200,27,ok_til_now,business,3915,<100,<4,4,male_single,none,2,car,36,none,own,1,skilled,2,yes,yes,bad
none,6,ok_til_now,television,2108,<100,<7,2,male_married,none,2,real_estate,29,none,rent,1,skilled,1,no,yes,good
<200,45,ok_til_now,television,3031,<500,<4,4,male_single,guarantor,4,savings,21,none,rent,1,skilled,1,no,yes,bad
<200,9,critical,education,1501,<100,>=7,2,female,none,3,car,34,none,own,2,management,1,yes,yes,bad
none,6,critical,television,1382,<100,<4,1,female,none,1,car,28,none,own,2,skilled,1,yes,yes,good
<200,12,ok_til_now,furniture,951,<500,<1,4,female,none,4,car,27,bank,rent,4,skilled,1,no,yes,bad
<200,24,ok_til_now,car_used,2760,unknown,>=7,4,male_single,none,4,unknown,36,bank,free,1,skilled,1,yes,yes,good
<200,18,past_delays,furniture,4297,<100,>=7,4,male_divorced,none,3,unknown,40,none,own,1,management,1,yes,yes,bad
none,9,critical,education,936,<1000,>=7,4,male_single,none,2,car,52,none,own,2,skilled,1,yes,yes,good
<0,12,ok_til_now,car_new,1168,<100,<4,4,male_married,none,3,real_estate,27,none,own,1,unskilled,1,no,yes,good
none,27,past_delays,business,5117,<100,<7,3,male_single,none,4,car,26,none,own,2,skilled,1,no,yes,good
<0,12,ok_til_now,retraining,902,<100,<7,4,male_married,none,4,savings,21,none,rent,1,skilled,1,no,yes,bad
none,12,critical,car_new,1495,<100,>=7,4,male_single,none,1,real_estate,38,none,own,2,unskilled,2,no,yes,good
<0,30,critical,car_used,10623,<100,>=7,3,male_single,none,4,unknown,38,none,free,3,management,2,yes,yes,good
none,12,critical,furniture,1935,<100,>=7,4,male_single,none,4,real_estate,43,none,own,3,skilled,1,yes,yes,good
<200,12,critical,appliances,1424,<100,<7,4,male_single,none,3,savings,26,none,own,1,skilled,1,no,yes,good
<0,24,ok_til_now,business,6568,<100,<4,2,male_married,none,2,car,21,stores,own,1,unskilled,1,no,yes,good
none,12,ok_til_now,car_used,1413,>=1000,<7,3,male_single,none,2,savings,55,none,own,1,skilled,1,no,no,good
none,9,critical,television,3074,unknown,<4,1,male_single,none,2,real_estate,33,none,own,2,skilled,2,no,yes,good
none,36,ok_til_now,television,3835,unknown,>=7,2,female,none,4,real_estate,45,none,own,1,unskilled,1,yes,yes,good
<0,27,ok,business,5293,<100,unemployed,2,male_single,none,4,savings,50,stores,own,2,skilled,1,yes,yes,bad
>=200,30,past_delays,business,1908,<100,>=7,4,male_single,none,4,real_estate,66,none,own,1,management,1,yes,yes,bad
none,36,critical,television,3342,unknown,>=7,4,male_single,none,2,car,51,none,own,1,skilled,1,yes,yes,good
<200,6,critical,retraining,932,unknown,<7,1,female,none,3,savings,39,none,own,2,unskilled,1,no,yes,good
<0,18,ok,business,3104,<100,<7,3,male_single,none,1,savings,31,bank,own,1,skilled,1,yes,yes,good
>=200,36,ok_til_now,television,3913,<100,<4,2,male_single,none,2,real_estate,23,none,own,1,skilled,1,yes,yes,good
<0,24,ok_til_now,furniture,3021,<100,<4,2,male_divorced,none,2,real_estate,24,none,rent,1,unskilled,1,no,yes,good
none,10,ok_til_now,car_new,1364,<100,<4,2,female,none,4,car,64,none,own,1,skilled,1,yes,yes,good
