custid,region,townsize,gender,age,agecat,ed,edcat,income,debtinc,churn
2332-AAKERL-PNS,3,4,1,61,5,17,4,121,9.1,0
8888-ERPHEF-H3V,4,5,1,77,6,11,1,19,15.3,0
0213-HSPXOI-LYR,5,5,1,21,2,16,3,30,13.5,0
9095-NXHCNI-HXG,3,3,1,31,3,19,4,43,2.1,1
4115-RQKQTM-RXB,1,4,0,74,6,11,1,18,1.4,0
4730-MCQYEE-7XQ,4,2,1,27,3,20,5,42,16.4,1
4048-TDAQGT-9Y6,1,2,0,64,5,10,1,327,11.7,0
4336-AZJUON-KO0,5,4,0,72,6,18,4,30,6.9,0
5495-XNMJLP-GBP,4,4,0,66,6,16,3,96,15.6,0
9844-JTMVSQ-J5G,3,2,0,55,5,16,3,143,10.9,0
6960-IEHYJM-SCB,5,1,1,20,2,15,3,25,6.8,1
2566-HGSGRK-ROU,3,1,0,59,5,18,4,68,6.5,1
7164-HJCLUK-29N,3,2,1,69,6,8,1,78,12.7,0
5052-NKTQMH-BKA,1,2,1,43,4,13,2,38,6.5,0
8802-ZPAEGX-52Q,3,1,0,62,5,15,3,56,27.7,0
0309-KOSUPM-CSV,5,2,0,32,3,14,2,65,14.1,1
8514-TCRHWV-DPM,3,1,0,78,6,10,1,17,20.8,0
7441-RFDNVF-7SP,3,3,0,64,5,15,3,62,17.5,0
1150-ESKSKG-FRM,1,1,0,75,6,11,1,11,8,0
7196-SOFWOP-3K6,1,1,0,74,6,19,4,108,9.3,0
9083-WGKZAH-8XR,2,2,1,20,2,15,3,19,7.6,1
8552-ZQJYEJ-BW1,3,4,0,65,6,15,3,26,11.1,1
3686-HKVHPL-GU6,1,5,1,66,6,16,3,21,21.2,0
4923-DBKSJV-D3H,4,2,1,45,4,19,4,82,7,1
4588-ODXEGS-UGY,2,1,1,44,4,13,2,60,12.5,0
2689-VYLAYC-OSJ,5,3,1,59,5,11,1,100,5.9,0
1086-IKBULJ-52W,1,3,1,38,4,15,3,81,10.9,1
3149-SOXJIB-AZ6,2,3,0,65,6,13,2,34,17.3,0
0198-MUHWOZ-918,1,1,1,26,3,15,3,23,10.3,1
4487-UIOHOC-Y6X,1,3,0,70,6,16,3,107,14.1,0
3319-BOOXCD-PSQ,5,5,1,65,6,18,4,66,6.9,0
3630-CTGBIF-YIX,5,5,1,61,5,9,1,107,3.6,0
2594-FSOPWS-H02,3,4,0,63,5,13,2,69,3.5,1
3335-MFSNGA-J31,1,4,1,70,6,11,1,224,2.6,0
3239-YTOCDY-213,4,4,0,64,5,22,5,28,8.1,1
1226-OKZENG-YMZ,5,5,1,56,5,14,2,31,0.9,1
1946-CHZAKX-7PK,2,2,0,43,4,14,2,32,10.1,1
1587-LHMXIB-2NP,1,1,0,53,5,10,1,82,4.8,1
8916-LWSVNK-W0Q,4,2,1,36,4,12,2,54,9.6,0
3755-JZHSNC-YVQ,1,5,1,52,5,9,1,42,3,0
6055-WFKEYT-97B,4,5,0,44,4,17,4,58,7.5,0
4898-VWAWIL-UWT,1,1,1,48,4,13,2,73,4.6,0
0161-ZGCKJD-1M2,4,3,0,60,5,19,4,36,14.1,1
3330-YCHJNM-YA1,1,3,1,67,6,19,4,51,6.7,1
0481-RFVYIH-H7J,4,3,0,77,6,15,3,27,6.2,0
9830-UFEBRB-WOE,4,3,0,72,6,9,1,36,10.5,0
3912-EDPWEY-1ZP,3,3,1,44,4,19,4,59,5.9,1
4629-OUAIRK-MZH,5,2,0,75,6,17,4,41,14,0
9024-QQZDBM-RN4,5,4,0,78,6,14,2,59,3.4,0
1608-DQBMUD-AB8,3,2,0,55,5,21,5,128,20.5,0
4284-HHTPTO-Q5J,2,1,0,29,3,16,3,54,9.6,0
6828-JEJYIH-3EI,2,2,1,43,4,8,1,44,10.6,0
9723-VUGZBJ-ZQA,3,3,0,18,2,13,2,15,10.9,1
8520-MLQCDY-K1Y,2,2,0,28,3,16,3,17,2.2,0
6088-TDDVGT-XO0,4,1,0,70,6,16,3,59,2.1,0
8775-VURAWW-OS0,4,2,0,43,4,14,2,57,14.3,0
9852-FJWQJI-KV7,4,3,0,56,5,12,2,29,7.2,0
5645-BCARMI-G7Z,3,4,0,66,6,16,3,12,12.7,0
7414-PZJWWB-D1D,2,1,0,73,6,18,4,9,19.7,0
2578-QQXNBH-3G2,2,2,0,26,3,13,2,85,8.2,0
9334-IUMUSE-FAI,1,2,0,54,5,10,1,25,6.8,0
1866-UGNVHM-6F1,4,1,1,39,4,12,2,48,18.5,0
6170-RWXBEX-2CR,3,3,0,24,2,18,4,29,7.2,1
2447-WXAAQB-6K7,4,3,1,26,3,17,4,64,3.7,1
2583-FMHHBW-E5N,2,1,1,19,2,14,2,13,12.4,0
5097-JIRHCW-CFG,3,1,0,60,5,12,2,131,5.3,0
2979-LZXION-EKF,3,1,0,24,2,16,3,10,6.1,0
5802-HZRLCD-BHF,3,3,1,31,3,11,1,27,0.6,0
7444-WJWKGZ-67A,1,1,1,61,5,14,2,11,41.7,1
2688-GYVWQM-JSK,4,2,0,24,2,18,4,51,6.4,1
4435-FBUZVB-AES,3,1,1,66,6,17,4,57,12.8,1
9819-KBLSEK-N7M,3,3,0,50,5,12,2,54,9,0
7451-DHDPCJ-ZXU,2,4,1,64,5,16,3,98,13.1,0
6973-VFXJPS-W71,3,5,1,46,4,18,4,28,20.7,0
0286-ZUKLWW-UD1,2,5,1,29,3,19,4,69,5.9,0
9082-FIBGZG-W7E,4,2,0,69,6,9,1,149,0.7,0
2007-BEDDYV-62E,4,2,1,60,5,11,1,155,8.7,0
2076-HXNRRT-59Y,5,2,0,50,5,20,5,49,15.6,0
4238-LORPCR-80R,4,2,0,73,6,12,2,17,13.8,0
8724-ZFSGUO-JYL,3,1,0,68,6,12,2,31,15.3,1
2581-PFMMKD-4C6,3,3,0,57,5,17,4,39,20.5,0
6877-RTHCJH-M7A,2,5,0,29,3,19,4,156,1.1,1
1191-EGQJHO-ZJQ,5,1,1,63,5,15,3,17,6.4,0
6237-IDDHKI-H17,4,2,0,49,4,17,4,60,8.4,0
5085-RQHHUP-L2U,2,5,1,51,5,12,2,122,13.6,0
2981-FYZXBF-DM9,5,5,0,22,2,17,4,32,7.1,1
8446-TMJWQX-AK5,2,2,0,51,5,12,2,43,4.1,0
1476-ZJSUZO-GSO,4,4,1,53,5,16,3,142,13.6,0
9469-FWPWKV-HJY,5,5,0,75,6,15,3,123,1.1,0
8791-ICWRCS-WUD,1,3,1,30,3,10,1,32,0.9,0
2441-WRRBMV-9VV,3,3,1,65,6,8,1,14,7.3,0
0815-FGMWDH-Y8D,1,5,1,35,4,18,4,17,8,0
6991-FJSWKW-ADG,2,5,1,58,5,14,2,58,11.4,0
0142-QMGDVL-8WD,5,2,0,30,3,15,3,39,9.3,1
8214-NVCQAC-3HH,2,2,0,79,6,12,2,47,7.9,0
1884-TYBPZG-HGL,1,1,0,62,5,15,3,49,4.8,1
0072-MQVNDV-4KO,5,2,0,27,3,16,3,29,10.9,1
5788-QLVXSO-HER,3,1,0,34,3,18,4,51,6.2,0
8931-XMXDFT-RXL,1,1,1,79,6,7,1,20,19.2,0
3682-HHDSLK-HXO,2,5,1,68,6,13,2,74,7.2,0
1516-CYANIZ-RY8,4,2,0,37,4,18,4,193,3.7,1
7570-FPTDKK-0IF,4,3,1,52,5,11,1,94,19.2,0
7515-AFJDMR-B0B,1,3,1,23,2,9,1,21,9.5,0
1684-SWFFWY-K3C,4,1,0,57,5,15,3,121,7.8,1
2049-KTNHMV-YMX,4,5,1,40,4,13,2,24,6.6,0
1085-WJCGKC-MRO,2,1,1,66,6,13,2,53,13.5,0
9249-AXADUL-D5S,1,2,1,61,5,15,3,56,11.3,0
1734-EAYBEZ-PZ0,2,1,0,79,6,16,3,26,18.1,0
3385-UPMYTY-3KI,3,4,1,75,6,11,1,19,4.2,0
2931-WBFVCF-CNX,4,5,0,35,4,20,5,47,5.5,1
9639-WDHBCL-5A8,3,5,0,22,2,15,3,19,12.5,1
9081-UBQDSR-6IK,4,5,0,73,6,14,2,164,29.7,0
8639-AUPQYM-25S,2,3,0,23,2,13,2,16,1.1,0
8745-DMQULS-JO0,2,4,0,19,2,14,2,23,2.1,0
6163-GILGEU-DY5,3,5,0,77,6,16,3,13,17.3,0
7939-ERYSUF-ZB5,5,3,1,51,5,14,2,74,11.9,0
0077-YFKJAV-D91,2,1,1,56,5,18,4,129,5.5,1
6322-BPCXEI-Q4D,1,4,1,46,4,16,3,56,6.1,0
7426-RJRFFK-CYX,2,4,0,69,6,6,1,59,12.3,0
1712-VZCJTW-W1K,4,1,1,38,4,15,3,36,5.2,0
3736-LXGHWH-QT3,4,5,1,52,5,18,4,96,29.3,0
8405-GXTJBV-W7N,4,1,1,67,6,10,1,22,14.9,0
5214-MDMLPQ-1MT,3,3,0,28,3,15,3,43,9.2,1
6762-UARYPL-51S,2,5,1,36,4,18,4,29,30.7,1
0046-IBWRNV-OP7,4,4,0,39,4,15,3,28,13.2,1
2834-OGEVTU-9O7,2,1,1,55,5,12,2,29,14.2,0
8157-GPGMVO-VJW,3,3,0,65,6,13,2,18,5.1,0
0037-VHZRCO-JXT,5,4,1,73,6,10,1,14,1.9,0
2802-MDQRFW-U5L,3,4,0,34,3,15,3,36,18,0
9108-FHQQBK-LAH,1,1,1,67,6,19,4,152,8.4,0
1570-TKBDYZ-6W5,5,5,0,54,5,12,2,84,9.9,0
1321-FAHMBA-8RX,3,3,0,31,3,16,3,32,15.3,1
8828-EKUUDS-Z2E,2,2,1,66,6,22,5,22,17.8,0
8765-JDCAXZ-S3V,5,3,0,51,5,19,4,143,5.9,0
8723-NTRQSS-JQZ,4,1,0,35,4,17,4,22,2.4,0
6844-VETJBH-XEI,4,3,1,47,4,16,3,50,11.4,0
0423-RHVQHI-61H,5,5,0,65,6,16,3,42,14.6,0
0803-ZSJGGL-OSE,5,3,1,23,2,18,4,13,3.3,1
5219-ZVCGZQ-LCE,5,4,1,34,3,18,4,55,5.3,1
0290-RPEAHR-8B2,1,2,0,78,6,8,1,23,12.3,0
9783-VWYGCO-70P,1,1,0,68,6,13,2,15,3.5,0
8477-FURXBL-V98,1,1,0,47,4,15,3,45,19.7,0
3631-ONIBHG-JMI,5,2,0,33,3,16,3,20,13.3,0
2563-WMFFVX-82H,5,5,0,36,4,21,5,48,13.4,0
9827-QPOKBY-LKO,5,2,0,32,3,16,3,42,6.7,0
3145-VNGWUY-ZQS,2,1,0,64,5,16,3,35,7.5,0
4025-RCPSYI-803,1,1,0,54,5,15,3,38,9,0
6442-NNEOBK-8M9,1,1,1,62,5,17,4,66,7.9,0
3754-JJTSIX-HW4,5,5,1,18,2,13,2,19,4.1,1
4092-XAPMSL-F1S,1,1,1,79,6,12,2,10,6.8,0
5140-JORCZS-SWG,2,3,0,70,6,14,2,21,11.8,0
9751-UJKWLO-R2B,1,1,0,42,4,17,4,114,7,0
3174-AHTEYY-QJK,4,3,1,69,6,10,1,41,5,0
8036-YWCZIP-OOA,2,2,1,24,2,18,4,23,14.3,1
1729-LDUPIQ-AKS,3,4,0,26,3,16,3,21,3.3,1
9523-PJUBAK-KSC,1,1,1,61,5,13,2,110,29.7,0
1512-XVXHMT-7YJ,2,2,1,36,4,19,4,29,7.9,0
9513-EFLYMG-UEA,2,1,1,68,6,11,1,102,8.7,0
0076-YGZXNR-QMC,5,4,0,35,4,14,2,22,5.9,0
7141-HNJHVQ-3VB,5,5,1,55,5,10,1,42,6.1,0
7689-PZGVSS-C8Q,5,4,1,49,4,12,2,36,14.9,0
3288-JVGWKD-YGB,5,2,0,20,2,11,1,19,4.6,0
1273-MSAUOB-2O9,5,5,0,25,3,19,4,31,23.4,0
0558-SITMGB-YZ9,4,2,1,47,4,11,1,66,15.1,0
4944-ITFWMY-KDC,4,3,0,66,6,13,2,23,10.4,0
1103-KTXUJS-ZPH,3,1,1,18,2,13,2,15,4.9,0
0570-SPHLVW-B1R,1,2,0,25,3,10,1,21,8.9,0
3402-FTLZQI-30T,2,4,1,68,6,16,3,237,5,0
6702-MJNIGH-KYH,2,4,0,61,5,18,4,32,10.6,1
0908-VOARVR-1L4,1,2,0,49,4,15,3,208,8.3,0
4459-SHQKCK-YYU,5,4,1,26,3,17,4,82,10.1,1
3319-YDSBGY-41V,2,4,1,62,5,13,2,182,26.2,0
4308-OSQDNR-9D6,5,5,0,20,2,15,3,17,3.9,1
6343-MDDJHT-XZJ,5,2,1,74,6,9,1,62,10.7,1
6378-WSYINQ-NNO,4,2,1,30,3,15,3,30,30.6,0
7442-JTPBTI-5SZ,4,1,1,64,5,11,1,18,6.1,1
3401-LGDNVB-E53,4,1,0,22,2,16,3,20,3.8,1
7670-PQQZMH-YSU,4,2,0,30,3,17,4,109,18.4,1
3303-GJYFBQ-K1T,5,3,0,66,6,9,1,88,8.3,0
7971-YHMWIH-PAT,3,2,0,42,4,11,1,46,11,1
4707-LKQWVH-DVB,3,3,1,27,3,9,1,22,9.1,0
3743-WMVESG-C4C,4,2,0,45,4,23,5,58,9.6,1
6220-DNXMOB-3CJ,3,1,1,75,6,16,3,28,3.9,1
7512-DILXWV-6YD,5,4,0,43,4,17,4,127,6.9,0
8389-PNASXX-NKE,5,5,1,35,4,15,3,51,18.3,1
4924-TJCPTE-P6D,1,3,1,31,3,13,2,29,12.4,1
4583-LDDOHQ-VFX,4,4,0,70,6,18,4,141,10.7,0
4651-FZBXWY-6F0,4,3,0,22,2,17,4,20,14.9,0
4157-SFKIZN-I6C,5,4,0,69,6,17,4,64,12,0
4000-PKSKNR-T9A,5,5,0,42,4,17,4,30,9.7,0
1751-IQPXZD-CZV,5,5,1,57,5,8,1,19,6.8,0
3553-EBMWFX-MVS,3,1,0,43,4,18,4,22,11,0
3000-DWUGGK-EXP,1,2,1,56,5,14,2,79,14,0
6989-XMMWMU-ORW,2,4,1,65,6,13,2,55,21.2,0
1931-NHXKGH-D3R,5,4,1,66,6,14,2,350,3.9,0
0778-ADCYKA-7HH,4,4,0,42,4,12,2,81,7.1,0
8563-XFYTWE-1CH,3,4,1,78,6,16,3,17,9.5,0
6529-QAKUNP-XYF,1,3,1,24,2,16,3,30,4.4,0
2413-ECMIEM-PSY,2,2,1,68,6,13,2,10,4.2,0
4453-FAJXXO-IUV,3,4,1,23,2,16,3,26,2.7,0
2952-JTVKHR-S7F,5,5,1,22,2,11,1,23,7.6,1
1018-INNKLF-Y2Q,5,3,1,52,5,8,1,50,4.2,0
1051-FVOLSM-6TE,3,3,0,26,3,12,2,21,9.4,0
9700-DGCABT-FRY,2,1,1,32,3,13,2,22,5.4,0
1092-JSLTHP-BCT,3,4,0,49,4,16,3,60,3.8,0
3011-YSOAMU-FQ2,3,1,0,55,5,17,4,101,14.6,0
7648-KAUMVM-HEU,4,2,0,42,4,15,3,65,5.8,0
6891-ARDRVC-EWL,2,3,1,65,6,11,1,32,6.9,0
7233-HQDDYC-VK3,4,5,0,19,2,12,2,25,10.5,1
0453-LYAETZ-K69,2,1,1,39,4,18,4,34,17.3,1
8201-AAESBF-GW3,1,1,1,25,3,18,4,37,1.2,1
8574-GUQVLV-C04,1,1,0,23,2,15,3,31,1,1
2392-WBLNQY-964,3,2,0,30,3,16,3,19,6,0
0359-DQOMHP-1YU,4,2,1,50,5,14,2,59,6.6,0
9176-YPUZOB-0X8,3,3,0,49,4,13,2,37,14.3,0
9393-XVJDYP-T0Y,3,2,0,32,3,10,1,30,5.3,0
3427-AFVORF-KSQ,4,2,0,45,4,19,4,83,5.4,0
3653-NZHSEU-GMC,1,1,1,34,3,18,4,31,10.9,0
1804-PVZNPU-R1J,5,5,1,19,2,14,2,43,17.9,0
9357-NOWBWV-55T,4,3,1,22,2,17,4,19,3.5,1
2613-HPXXOY-32A,5,5,1,30,3,16,3,64,7.3,0
5725-ECSRUB-X5V,1,1,0,46,4,16,3,24,1.3,0
9200-GVGEES-KKE,3,1,0,51,5,18,4,24,11.6,0
3736-XFNRBQ-RGC,4,2,1,52,5,16,3,33,10,0
9357-WUXLKE-TTP,5,3,1,27,3,18,4,17,11.3,1
4128-WQIOMO-MJX,1,1,1,38,4,10,1,37,8.5,0
2736-QDRAAN-VAI,5,5,1,18,2,13,2,21,4.5,1
5739-BYRLOH-4E9,4,3,1,21,2,14,2,29,18.9,0
3216-HYCWBS-R4X,5,4,0,42,4,14,2,34,14.7,1
5023-GJPZGQ-PDD,3,2,0,68,6,10,1,15,4.2,1
4251-UJCSCO-W61,2,1,0,56,5,13,2,43,7.5,0
2484-ZFXONS-Y8G,5,2,1,31,3,18,4,78,5.6,0
1163-JCDRWZ-Q3K,4,2,0,18,2,13,2,19,22.2,1
1351-APLKEM-62K,3,5,0,32,3,12,2,29,9.3,0
2175-VGCTPF-370,4,4,0,79,6,12,2,9,3.8,0
5161-SAEGFS-T7Q,3,2,0,64,5,21,5,66,16.4,1
2603-JDZIQN-SZF,5,3,1,53,5,12,2,32,6.7,0
2459-RBRPIE-BI3,1,3,0,40,4,14,2,42,2.9,0
2591-HAWSSX-B1M,2,2,0,39,4,17,4,50,15.6,1
0044-LVJIBD-G76,4,4,1,49,4,16,3,50,6.5,0
8454-WYVBYJ-22N,2,4,1,75,6,15,3,74,2.8,1
9769-TIWOIU-7YX,3,1,0,29,3,13,2,20,9.3,0
9999-EGLHVE-19G,1,2,0,32,3,16,3,36,13.4,1
7731-TDRNOT-PZX,2,3,0,23,2,15,3,64,4.3,0
4030-WSTXBV-BTC,3,2,1,79,6,12,2,9,7.8,0
5547-KHAYAE-2AW,2,4,1,74,6,11,1,16,9.9,0
2581-UPECEP-JVH,3,3,0,38,4,16,3,76,2.6,1
3542-FMTLYP-O4P,5,5,0,44,4,11,1,66,0.4,0
5649-GIECLS-1ZJ,1,1,0,68,6,13,2,11,4.5,0
7524-OITCVK-NGI,2,2,1,19,2,14,2,13,10.8,1
8320-TNOHJH-48E,2,3,0,28,3,20,5,55,16.5,1
5593-ZOVUTO-QGA,3,1,1,65,6,17,4,28,3.5,0
0127-NJJYNR-WUP,1,1,1,60,5,15,3,191,11.3,0
0256-VFLEDH-Y42,1,2,0,29,3,19,4,71,10.7,0
4080-WVWCSJ-5KU,3,1,1,72,6,15,3,17,9.7,0
8974-LHXTHT-IZ5,3,3,1,48,4,15,3,27,6.5,1
4563-GBQFAH-LGL,1,1,0,33,3,14,2,53,5,0
7833-BKSOZR-8NC,4,4,0,26,3,15,3,37,11,0
2833-ORNEXA-0T3,2,1,0,75,6,11,1,21,10.1,0
3086-WRWJTT-HZR,3,3,1,29,3,17,4,47,8.3,1
7981-ZGZQNR-WLL,3,4,0,30,3,18,4,30,9.9,1
1090-UJJPXK-6CC,4,5,0,74,6,21,5,9,1,0
1492-MUMVFT-GK0,2,3,1,24,2,11,1,18,8.1,0
9484-XPXYRM-EKK,1,1,0,64,5,11,1,69,7.9,0
7442-PTTPUB-IR1,3,2,0,74,6,16,3,51,17.7,0
1833-MUWCIB-24I,1,1,1,61,5,16,3,35,26.1,0
6700-YQAMUY-AMS,5,2,1,20,2,15,3,28,9.8,0
0256-JXPOLY-RHL,1,3,1,64,5,8,1,143,10,0
4323-JKNASP-Z5I,4,3,1,66,6,16,3,80,17.9,0
3198-MUUHTP-59E,2,3,1,59,5,17,4,18,8.8,0
9758-OITZZF-IN8,5,5,1,54,5,12,2,41,8.7,0
1537-EOLBHN-V36,4,1,1,55,5,13,2,32,20.9,1
2226-UNHNYR-8Z9,5,2,0,71,6,17,4,310,14.2,0
3677-RCTNGD-2YK,2,1,0,55,5,17,4,182,4.7,0
5575-OHSPKK-PQT,3,1,0,44,4,14,2,154,2.4,0
9829-URPLKI-D16,1,1,0,63,5,14,2,49,19.8,0
7449-JUWOQG-ETO,2,1,0,61,5,11,1,143,5,0
1168-SOZEIT-VZE,5,5,1,32,3,14,2,25,3.8,1
5707-ZSNWSX-HMG,4,2,1,19,2,14,2,19,24.1,0
9325-WPUGWE-EUA,3,2,0,41,4,20,5,31,4.7,0
2016-DLJMNC-NIF,4,1,0,68,6,21,5,10,13.1,1
9369-JGANTZ-TWM,1,2,1,18,2,10,1,19,15,0
7131-DZKXSP-AYH,1,3,1,54,5,12,2,83,7.3,0
7618-WWRKRN-8S6,3,1,1,52,5,15,3,165,9.7,0
8877-ZFRMNO-VHG,3,5,1,70,6,18,4,117,7.1,0
3845-JKYVBV-CUZ,1,2,1,43,4,11,1,43,1.7,0
9841-HCDWMI-E3T,1,2,1,77,6,14,2,58,12.3,0
6411-UBAAYJ-XDJ,1,1,0,52,5,17,4,27,15,0
6670-CAOOLM-DC3,2,1,1,30,3,17,4,40,12.6,0
8896-GPAXGQ-GFS,1,1,1,55,5,17,4,143,6.4,0
1716-RVHNCT-ZVF,3,2,1,54,5,17,4,118,25.6,1
4668-SXFBSK-ENH,2,4,1,31,3,17,4,18,20.2,0
6281-YXHVKP-VKM,3,1,1,60,5,17,4,20,22.4,0
2627-JVEEIV-9S6,5,5,1,49,4,11,1,31,0.3,0
1844-MWTFIG-QB1,2,2,1,39,4,17,4,36,17.1,0
8789-SCPEIS-C7B,5,1,1,25,3,14,2,13,8.6,0
2247-HJDSTO-CGV,2,1,0,74,6,14,2,11,1.7,0
7291-GKVRNH-DFX,2,5,0,46,4,14,2,43,6.5,0
6672-TXBPJN-IDF,2,1,0,33,3,8,1,25,8.1,0
8350-CWQQCH-O07,2,1,0,26,3,19,4,36,3.9,0
6127-NZFYZA-1CA,2,1,0,62,5,14,2,11,23.1,0
1341-ZSKCOA-3SH,3,1,1,22,2,17,4,36,11,0
6618-IFTTDL-V8P,4,4,0,43,4,20,5,42,5.4,1
8505-MZQBHT-GH5,1,2,0,62,5,11,1,48,11,0
7556-RQGMIC-BXZ,1,3,1,51,5,10,1,31,19,0
5060-SERQNE-ND1,1,3,0,37,4,13,2,16,11.8,1
2394-ACVTAK-ENR,2,1,1,57,5,20,5,47,9.4,0
5561-RICGZN-AJ6,5,3,0,75,6,13,2,14,5.7,0
6531-KXPPVV-UYG,1,2,0,68,6,13,2,47,18.4,0
5540-HQXVZL-NKU,4,4,0,55,5,17,4,181,5.1,0
9860-AXCYEV-DW4,3,1,1,39,4,19,4,92,11.6,1
